"opponent","date","score","w_l","fgm_a","pct","x3fg_a","pct_2","ftm_a","pct_3","off","def","tot","avg","pf","ast","to","blk","stl","pts","avg_2","season"
"Emerson",2018-12-08,"86-77","W","30-65",0.462,"8-16",0.5,"18-21",0.857,9,23,32,31.9,21,21,9,1,7,86,58.7,"2018-19"
"Westfield State Univ",2018-12-12,"100-108","L","33-100",0.33,"13-50",0.26,"21-31",0.677,15,18,33,32,37,22,19,5,24,100,62.8,"2018-19"
"TCNJ",2018-12-30,"67-72","L","25-69",0.362,"10-35",0.286,"7-8",0.875,10,25,35,32.3,19,14,8,1,1,67,63.2,"2018-19"
"MIT",2019-01-05,"67-54","W","20-48",0.417,"3-11",0.273,"24-28",0.857,6,25,31,32.2,15,6,10,2,3,67,63.5,"2018-19"
"WPI",2019-01-08,"48-68","L","18-58",0.31,"9-31",0.29,"3-4",0.75,17,16,33,32.2,15,10,20,0,5,48,62.3,"2018-19"
"PINEMANO",2017-11-15,"38-87","L","13-63",0.206,"2-16",0.125,"10-14",0.714,12,25,37,37,22,5,28,1,5,38,38,"2017-18"
"Southern Maine",2017-11-18,"64-72","L","25-53",0.472,"5-19",0.263,"9-11",0.818,9,10,19,28,22,8,12,0,6,64,51,"2017-18"
"Bates",2017-11-19,"64-85","L","20-59",0.339,"10-32",0.313,"14-17",0.824,10,23,33,29.7,9,8,13,1,4,64,55.3,"2017-18"
"Salve Regina",2017-11-21,"50-66","L","15-46",0.326,"3-14",0.214,"17-18",0.944,7,25,32,30.3,16,8,17,0,8,50,54,"2017-18"
"Williams",2017-11-26,"71-60","W","26-56",0.464,"9-15",0.6,"10-17",0.588,8,31,39,32,12,18,17,2,5,71,57.4,"2017-18"
"MIT",2017-11-29,"69-52","W","28-58",0.483,"7-20",0.35,"6-6",1,7,28,35,32.5,18,12,15,3,5,69,59.3,"2017-18"
"WPI",2017-12-02,"45-76","L","17-60",0.283,"7-30",0.233,"4-6",0.667,10,16,26,31.6,21,14,10,0,2,45,57.3,"2017-18"
"CGA",2017-12-06,"51-81","L","15-49",0.306,"7-23",0.304,"14-21",0.667,4,25,29,31.3,17,8,21,0,5,51,56.5,"2017-18"
"WSU",2017-12-13,"70-84","L","27-76",0.355,"11-39",0.282,"5-11",0.455,14,18,32,31.3,23,12,25,0,9,70,58,"2017-18"
"Baruch",2017-12-29,"32-59","L","13-57",0.228,"2-17",0.118,"4-9",0.444,8,25,33,31.5,8,6,15,2,6,32,55.4,"2017-18"
"NYU",2017-12-30,"64-62","W","21-60",0.35,"4-13",0.308,"18-24",0.75,12,24,36,31.9,17,13,15,2,15,64,56.2,"2017-18"
"Emerson",2018-01-06,"83-76","W","26-50",0.52,"12-22",0.545,"19-24",0.792,6,20,26,31.4,13,23,13,0,7,83,58.4,"2017-18"
"BAB",2018-01-09,"73-83","L","25-73",0.342,"7-29",0.241,"16-19",0.842,16,27,43,32.3,16,10,15,0,4,73,59.5,"2017-18"
"Springfield College",2018-01-11,"48-68","L","20-63",0.317,"1-14",0.071,"7-11",0.636,15,23,38,32.7,20,12,13,2,8,48,58.7,"2017-18"
"MHC",2017-01-04,"30-95","L","11-36",0.306,"0-4",0,"8-10",0.8,4,12,16,16,16,3,31,2,3,30,30,"2016-17"
"Pine Manor",2016-11-15,"56-84","L","22-73",0.301,"7-24",0.292,"5-9",0.556,15,26,41,28.5,18,14,22,5,9,56,43,"2016-17"
"DWW",2016-11-19,"21-81","L","7-45",0.156,"0-12",0,"7-10",0.7,5,20,25,27.3,15,3,26,2,2,21,35.7,"2016-17"
"CSCW",2016-11-20,"36-53","L","11-43",0.256,"4-14",0.286,"10-17",0.588,6,29,35,29.3,17,3,28,0,5,36,35.8,"2016-17"
"WILLIAMS",2016-11-27,"44-40","W","18-50",0.36,"4-11",0.364,"4-6",0.667,8,31,39,31.2,14,5,21,4,1,44,37.4,"2016-17"
"Coast Guard",2016-11-30,"53-77","L","19-53",0.358,"4-15",0.267,"11-21",0.524,11,30,41,32.8,17,10,24,3,6,53,40,"2016-17"
"BAB",2016-12-03,"74-65","W","28-64",0.438,"4-10",0.4,"14-24",0.583,18,32,50,35.3,22,9,22,2,4,74,44.9,"2016-17"
"WPI",2016-12-07,"57-50","W","22-54",0.407,"7-13",0.538,"6-8",0.75,15,25,40,35.9,14,8,17,1,2,57,46.4,"2016-17"
"Westfield State",2016-12-10,"103-111","L","37-104",0.356,"7-42",0.167,"22-31",0.71,23,18,41,36.4,33,20,18,3,23,103,52.7,"2016-17"
"Bridgewater State",2016-12-15,"41-60","L","15-45",0.333,"8-21",0.381,"3-6",0.5,2,19,21,34.9,16,12,16,2,8,41,51.5,"2016-17"
"Salve Regina",2016-12-30,"25-66","L","10-56",0.179,"0-9",0,"5-9",0.556,12,25,37,35.1,14,4,23,4,6,25,49.1,"2016-17"
"MIDWB",2017-01-03,"48-64","L","21-57",0.368,"2-18",0.111,"4-9",0.444,14,20,34,35,16,5,19,0,3,48,49,"2016-17"
"CLK",2017-01-10,"58-71","L","21-46",0.457,"4-11",0.364,"12-19",0.632,4,24,28,34.5,20,7,17,4,1,58,49.7,"2016-17"
"Springfield College",2017-01-12,"64-57","W","18-54",0.333,"6-12",0.5,"22-32",0.688,16,33,49,35.5,17,13,15,4,7,64,50.7,"2016-17"
"Coast Guard",2017-01-14,"51-66","L","21-47",0.447,"3-11",0.273,"6-12",0.5,4,18,22,34.6,18,7,17,1,5,51,50.7,"2016-17"
"CC",2015-11-14,"42-85","L","15-57",0.263,"3-7",0.429,"9-12",0.75,11,22,33,33,14,5,23,1,9,42,42,"2015-16"
"RIT",2015-11-15,"79-68","W","22-57",0.386,"6-17",0.353,"29-39",0.744,7,31,38,35.5,14,7,9,2,5,79,60.5,"2015-16"
"Keene State",2015-11-21,"77-55","W","30-66",0.455,"10-18",0.556,"7-9",0.778,16,29,45,38.7,20,21,12,3,7,77,66,"2015-16"
"WIT",2015-11-24,"44-59","L","12-40",0.3,"2-7",0.286,"18-24",0.75,8,25,33,37.3,12,7,26,6,7,44,60.5,"2015-16"
"CGA",2015-12-02,"59-45","W","22-68",0.324,"2-14",0.143,"13-18",0.722,21,32,53,40.4,15,7,18,1,12,59,60.2,"2015-16"
"BAB",2015-12-05,"81-56","W","30-66",0.455,"3-4",0.75,"18-30",0.6,14,24,38,40,17,13,13,1,7,81,63.7,"2015-16"
"Williams",2015-12-09,"65-54","W","27-68",0.397,"7-19",0.368,"4-5",0.8,13,31,44,40.6,16,16,19,7,7,65,63.9,"2015-16"
"WSU",2015-12-12,"74-97","L","29-83",0.349,"4-19",0.211,"12-24",0.5,21,15,36,40,34,7,17,0,11,74,65.1,"2015-16"
"ClaremontMuddScripps",2015-12-30,"64-43","W","28-61",0.459,"5-16",0.313,"3-4",0.75,10,34,44,40.4,8,3,10,4,6,64,65,"2015-16"
"Springfield College",2016-01-06,"61-79","L","26-61",0.426,"4-16",0.25,"5-12",0.417,6,16,22,38.6,15,12,13,5,7,61,64.6,"2015-16"
"Babson College",2016-01-09,"75-61","W","28-80",0.35,"10-24",0.417,"9-19",0.474,26,31,57,40.3,25,21,11,1,4,75,65.5,"2015-16"
"EMEW",2016-01-12,"53-61","L","19-51",0.373,"4-16",0.25,"11-20",0.55,4,23,27,39.2,16,7,16,5,8,53,64.5,"2015-16"
